"T","U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
293.537,0.043864,0.000264478,0,8.16022,0.624476,0.01,-0.01
293.546,0.0428583,0.000272466,0,8.15984,0.645883,0.01,-0.01
293.557,0.0418338,0.000280339,0,8.15969,0.667044,0.01,-0.01
293.57,0.0407916,0.000288081,0,8.15977,0.687961,0.01,-0.01
293.587,0.0397327,0.000295672,0,8.16007,0.708637,0.01,-0.01
293.606,0.038658,0.00030309,0,8.16058,0.729075,0.01,-0.01
293.629,0.0375688,0.000310312,0,8.1613,0.749276,0.01,-0.01
293.657,0.0364661,0.000317314,0,8.16222,0.769245,0.01,-0.01
293.69,0.0353511,0.00032407,0,8.16333,0.788983,0.01,-0.01
293.729,0.0342251,0.000330554,0,8.16462,0.808494,0.01,-0.01
293.774,0.0330894,0.000336739,0,8.16608,0.82778,0.01,-0.01
293.827,0.0319454,0.000342597,0,8.16771,0.846844,0.01,-0.01
293.889,0.0307944,0.000348101,0,8.16948,0.865687,0.01,-0.01
293.96,0.029638,0.000353224,0,8.17141,0.884314,0.01,-0.01
294.042,0.0284776,0.000357939,0,8.17346,0.902725,0.01,-0.01
294.136,0.0273148,0.000362222,0,8.17564,0.920924,0.01,-0.01
294.243,0.0261511,0.000366048,0,8.17794,0.938914,0.01,-0.01
294.364,0.0249882,0.000369397,0,8.18034,0.956696,0.01,-0.01
294.502,0.0238276,0.000372251,0,8.18284,0.974272,0.01,-0.01
294.656,0.0226709,0.000374597,0,8.18542,0.991647,0.01,-0.01
294.829,0.0215198,0.000376423,0,8.18808,1.00882,0.01,-0.01
295.021,0.0203757,0.000377727,0,8.1908,1.0258,0.01,-0.01
295.234,0.0192402,0.000378509,0,8.19357,1.04258,0.01,-0.01
295.469,0.0181149,0.000378776,0,8.1964,1.05916,0.01,-0.01
295.728,0.017001,0.000378539,0,8.19925,1.07556,0.01,-0.01
296.011,0.0158999,0.000377813,0,8.20214,1.09176,0.01,-0.01
296.319,0.0148129,0.000376613,0,8.20504,1.10778,0.01,-0.01
296.652,0.0137412,0.000374953,0,8.20796,1.12362,0.01,-0.01
297.013,0.0126859,0.00037284,0,8.21087,1.13927,0.01,-0.01
297.4,0.0116481,0.000370266,0,8.21379,1.15474,0.01,-0.01
297.814,0.0106289,0.000367204,0,8.21669,1.17003,0.01,-0.01
298.256,0.00962954,0.000363596,0,8.21959,1.18515,0.01,-0.01
298.725,0.00865145,0.000359347,0,8.22246,1.20009,0.01,-0.01
299.221,0.00769624,0.000354317,0,8.22532,1.21486,0.01,-0.01
299.742,0.00676591,0.000348309,0,8.22816,1.22946,0.01,-0.01
300.29,0.00586297,0.000341068,0,8.23097,1.24389,0.01,-0.01
300.862,0.00499049,0.000332276,0,8.23376,1.25816,0.01,-0.01
301.458,0.00415228,0.000321558,0,8.23654,1.27226,0.01,-0.01
302.076,0.0033529,0.000308485,0,8.23929,1.2862,0.01,-0.01
302.716,0.00259779,0.000292599,0,8.24201,1.29998,0.01,-0.01
303.376,0.00189317,0.000273431,0,8.24471,1.31359,0.01,-0.01
304.053,0.00124602,0.000250538,0,8.24738,1.32705,0.01,-0.01
304.748,0.000663889,0.00022355,0,8.25,1.34036,0.01,-0.01
293.5,0.11745,0,0,8.25824,0,0.02,-0.01
293.5,0.11724,7.16044e-07,0,8.25366,0.0286091,0.02,-0.01
293.5,0.117356,9.79781e-05,0,8.24585,0.0568883,0.02,-0.01
293.5,0.116949,0.000154954,0,8.23924,0.0848413,0.02,-0.01
293.5,0.116476,0.000213615,0,8.23262,0.112472,0.02,-0.01
293.5,0.115859,0.000265217,0,8.22627,0.139784,0.02,-0.01
293.5,0.115127,0.00031135,0,8.2202,0.166781,0.02,-0.01
293.5,0.11429,0.000353877,0,8.21441,0.193467,0.02,-0.01
293.501,0.11336,0.000393625,0,8.20892,0.219845,0.02,-0.01
293.501,0.112343,0.000431245,0,8.20374,0.245919,0.02,-0.01
293.501,0.111246,0.000467214,0,8.19886,0.271692,0.02,-0.01
293.501,0.110076,0.000501886,0,8.19429,0.297168,0.02,-0.01
293.502,0.108835,0.000535537,0,8.19002,0.322351,0.02,-0.01
293.502,0.107529,0.000568385,0,8.18606,0.347243,0.02,-0.01
293.503,0.10616,0.0006006,0,8.18241,0.371847,0.02,-0.01
293.503,0.104731,0.000632317,0,8.17906,0.396169,0.02,-0.01
293.504,0.103245,0.000663643,0,8.176,0.420209,0.02,-0.01
293.506,0.101704,0.000694657,0,8.17323,0.443973,0.02,-0.01
293.507,0.100109,0.000725419,0,8.17076,0.467462,0.02,-0.01
293.509,0.0984639,0.000755971,0,8.16857,0.49068,0.02,-0.01
293.512,0.0967692,0.000786337,0,8.16665,0.513631,0.02,-0.01
293.515,0.0950267,0.000816529,0,8.16502,0.536317,0.02,-0.01
293.518,0.0932382,0.000846542,0,8.16365,0.558742,0.02,-0.01
293.523,0.0914052,0.000876363,0,8.16254,0.580908,0.02,-0.01
293.529,0.0895294,0.000905965,0,8.16169,0.602818,0.02,-0.01
293.536,0.0876123,0.000935313,0,8.16109,0.624476,0.02,-0.01
293.545,0.0856557,0.000964361,0,8.16073,0.645883,0.02,-0.01
293.556,0.0836614,0.000993056,0,8.1606,0.667044,0.02,-0.01
293.57,0.0816311,0.00102134,0,8.16071,0.687961,0.02,-0.01
293.586,0.0795667,0.00104913,0,8.16104,0.708637,0.02,-0.01
293.605,0.0774702,0.00107637,0,8.16158,0.729075,0.02,-0.01
293.628,0.0753437,0.00110297,0,8.16233,0.749276,0.02,-0.01
293.655,0.0731893,0.00112885,0,8.16327,0.769245,0.02,-0.01
293.688,0.0710094,0.00115391,0,8.1644,0.788983,0.02,-0.01
293.726,0.0688064,0.00117806,0,8.16572,0.808494,0.02,-0.01
293.771,0.0665827,0.00120121,0,8.1672,0.82778,0.02,-0.01
293.823,0.0643409,0.00122326,0,8.16885,0.846844,0.02,-0.01
293.884,0.0620838,0.00124411,0,8.17065,0.865687,0.02,-0.01
293.955,0.0598141,0.00126366,0,8.17259,0.884314,0.02,-0.01
294.036,0.0575348,0.00128182,0,8.17467,0.902725,0.02,-0.01
294.13,0.0552488,0.0012985,0,8.17687,0.920924,0.02,-0.01
294.236,0.0529592,0.0013136,0,8.17918,0.938914,0.02,-0.01
294.357,0.0506689,0.00132706,0,8.1816,0.956696,0.02,-0.01
294.493,0.0483812,0.0013388,0,8.18411,0.974272,0.02,-0.01
294.646,0.0460991,0.00134876,0,8.18671,0.991647,0.02,-0.01
294.818,0.0438257,0.00135692,0,8.18937,1.00882,0.02,-0.01
295.009,0.0415642,0.00136323,0,8.1921,1.0258,0.02,-0.01
